MERCHANT_COMMODITY_REF_ID,COMMODITY_NAME_TITLE,SHORT_DESCRIPTION,LONG_DESCRIPTION,RETAILER_ID,COMMODITY_URL,RETAILER_UNIQUE_ID,PCH_CATEGORY_ID,RH_CATEGORY_ID,STANDARD_PRICE,WEIGHT_UNIT,DISTANCE_UNIT,COO,IMAGE_URL,PARENT_SKU,CHILD_SKU,PARCELS_PER_SKU,UPC,UPC_CHECK_DIGIT,GTIN,MPN,ISBN,BRAND,MANUFACTURER,MODEL_NUMBER,MANUFACTURER_STOCK_NUMBER,COMMODITY_CONDITION,COMMODITY_HEIGHT,COMMODITY_WIDTH,COMMODITY_LENGTH,PACKAGE_WEIGHT,PACKAGE_HEIGHT,PACKAGE_WIDTH,PACKAGE_LENGTH,HAZMAT,ORMD,CHEMICAL_INDICATOR,PESTICIDE_INDICATOR,AEROSOL_INDICATOR,RPPC_INDICATOR,BATTERY_TYPE,NON_SPILLABLE_BATTEY,FUEL_RESTRICTION,SHIP_ALONE,RH_CATEGORY_ID_PATH,RH_CATEGORY_NAME_PATH,RH_CATEGORY_URL_PATH,GPC,COMMODITY_WEIGHT,HS_CODE,CURRENCY
8796228747265,Flagship tripod with remote control and pan handle,Flagship tripod with remote control and pan handle – designed for professionals!,Remote pan-handle with under-hand grip controls zoom in/out  record start/stop  photo mode on/off (camcorder only) <br><br/>Dimensions: maximum height approx. 1 505 mm <br><br/>Dimensions: minimum height approx. 735 mm <br><br/>Weight: approx. 3.2 kg <br><br/>Maximum Load: 5.0 kg <br><br/>Panning Angle: 360 degrees <br><br/>Tilting Angle: 90 degrees down / 70 degrees up <br><br/>Quick-release Mounting Shoe <br><br/>Ball level for quick and easy level adjustment <br><br/>Oil Friction Head <br><br/>Counter Balance Function <br><br/>,26095309,/Open-Catalogue/Cameras/Camera-Accessories-%26-Supplies/Tripods/Flagship-tripod-with-remote-control-and-pan-handle/p/23355,MIRACLE_001,,8796131754126,580.38,,,,/300Wx300H/23355-9810.jpg,,,,0027242680746,,,,,electro,Sony,,VCT-1170RM,,,,,,,,,,,,,,,,,,,8796131360910:8796131459214:8796131688590:8796131754126,Open Catalogue|Cameras|Camera Accessories & Supplies|Tripods,/Open-Catalogue/c/1|/Open-Catalogue/Cameras/c/571|/Open-Catalogue/Cameras/Camera-Accessories-%26-Supplies/c/585|/Open-Catalogue/Cameras/Camera-Accessories-%26-Supplies/Tripods/c/587,,320.0,,USD
8796228780033,VCT-D580RM Remote Control Tripod,Run the show with just one hand with this remote tripod that lets you steady the camcorder or digital camera and operate it directly from the tripod grip. (expandable from 17.5"" to 45"").,Run the show with just one hand with this remote tripod that lets you steady the camcorder or digital camera and operate it directly from the tripod grip. (expandable from 17.5"" to 45""). <br/> •   Remote Operation Directly From The Tripod Grip <br/> <br/>•   Remote Zoom In/Out  Start/Stop And Lock/Standby <br/> <br/>•   Expands From 17.5” To 45” In Height <br/> <br/>•   Easy Height Adjustment With Elevator Mechanism,26095309,/Open-Catalogue/Cameras/Camera-Accessories-%26-Supplies/Tripods/VCT-D580RM-Remote-Control-Tripod/p/29925,MIRACLE_001,,8796131754126,115.0,,,,/300Wx300H/29925-8309.jpg,,,,4901780680801,,,,,electro,Sony,,VCT-D580RM,,,,,,,,,,,,,,,,,,,8796131360910:8796131459214:8796131688590:8796131754126,Open Catalogue|Cameras|Camera Accessories & Supplies|Tripods,/Open-Catalogue/c/1|/Open-Catalogue/Cameras/c/571|/Open-Catalogue/Cameras/Camera-Accessories-%26-Supplies/c/585|/Open-Catalogue/Cameras/Camera-Accessories-%26-Supplies/Tripods/c/587,,1100.0,,USD
8796228812801,EF 2x II extender,This extender allows users to combine practicality and functionality with a new optical system allowing them to extend the master lens focal length by 2x  with minimal loss of lens performance or image quality.,The effective aperture of the lens is increased by one or two stops respectively. Autofocusing does not operate if the effective maximum aperture is greater than f/5.6 (greater than f/8 on the EOS 1V and EOS 3).<br/> <br/> <br/>Features<br/> <br/><br/>Dust and moisture resistant construction <br/>Extends the master lens focal length by 2x <br/>Minimum loss of lens performance <br/>Reduces inner reflection for higher image quality <br/><br/> <br/> <br/>The EF 2x II doubles the focal length of any lens it's mounted to  and reduces its effective aperture by two stops<br/> <br/> <br/>Successors to the EF2x this model offers valuable improvements for further enhanced image quality. This extender allows users to combine practicality and functionality with a new optical system allowing them to extend the master lens focal length by 2x  with minimal loss of lens performance or image quality. With a dust- and moisture-resistant construction this extender has been designed to reinforce the EOS system. Specially designed to work in conjunction with the EOS-1V and IS super telephoto L-series lenses  it makes a highly dust- and water-resistant combination.<br/>The EF2x II features improved anti-reflection materials inside the lens-barrel as well as improved coating around the outer edges of the lenses to reduce flare. All of these improvements will allow professional photographers to capture higher quality images than ever before.<br/> <br/>,26095309,/Open-Catalogue/Cameras/Camera-Accessories-%26-Supplies/Camera-Lenses/EF-2x-II-extender/p/65652,MIRACLE_001,,8796131786894,358.88,,,,,,,,null,,,,,electro,Canon,,6846A003AA,,,,,,,,,,,,,,,,,,,8796131360910:8796131459214:8796131688590:8796131786894,Open Catalogue|Cameras|Camera Accessories & Supplies|Camera Lenses,/Open-Catalogue/c/1|/Open-Catalogue/Cameras/c/571|/Open-Catalogue/Cameras/Camera-Accessories-%26-Supplies/c/585|/Open-Catalogue/Cameras/Camera-Accessories-%26-Supplies/Camera-Lenses/c/588,,265.0,,USD
8796228845569,DC Car Battery Adapter,DC Car Battery Adapter,It's time to take a road trip and you want to capture the whole event with your HandyCam® camcorder but you know the battery isn't going to last the whole trip. Not a problem with the DCC-L50B Car Battery Adaptor. You can power your HandyCam® camcorder directly from your car's cigarette lighter socket and record your adventure non-stop!<br/>Includes the DK215 and DK235 connecting cords,26095309,/Open-Catalogue/Components/Power-Supplies/Power-Adapters-%26-Inverters/DC-Car-Battery-Adapter/p/107701,MIRACLE_001,,8796131983502,179.93,,,,/300Wx300H/107701-5509.jpg,,,,0027242612242,,,,,electro,Sony,,DCC-L50B,,,,,,,,,,,,,,,,,,,8796131360910:8796131393678:8796131950734:8796131983502,Open Catalogue|Components|Power Supplies|Power Adapters & Inverters,/Open-Catalogue/c/1|/Open-Catalogue/Components/c/106|/Open-Catalogue/Components/Power-Supplies/c/816|/Open-Catalogue/Components/Power-Supplies/Power-Adapters-%26-Inverters/c/827,,300.0,,USD
8796228911105,Camcordertape DV 60min (2),MiniDV Premium Tape - 60 min. Blister of 2. Bringing you exceptional picture quality  great resistance and excellent value for money  MiniDV Premium is an ideal tape for everyday use.,<br/><br/>Perfect digital picture with a resolution that exceeds 500 lines.<br/><br/>Infinite range of possibilities to edit and share your videos.<br/><br/>Possibility to record up to 50% more in LP mode.<br/><br/>Cleaning Tape: DVM12CLD.<br/><br/>,26095309,/Open-Catalogue/Cameras/Camera-Accessories-%26-Supplies/Blank-Video-Tapes/Camcordertape-DV-60min-%282%29/p/137220,MIRACLE_001,,8796131885198,8.0,,,,/300Wx300H/137220-3987.jpg,,,,4901780530007,,,,,electro,Sony,,2DVM60PR-BT,,,,,,,,,,,,,,,,,,,8796131360910:8796131459214:8796131688590:8796131885198,Open Catalogue|Cameras|Camera Accessories & Supplies|Blank Video Tapes,/Open-Catalogue/c/1|/Open-Catalogue/Cameras/c/571|/Open-Catalogue/Cameras/Camera-Accessories-%26-Supplies/c/585|/Open-Catalogue/Cameras/Camera-Accessories-%26-Supplies/Blank-Video-Tapes/c/604,,,,USD
8796228976641,Battery Video Light,20-watt video light compatible with InfoLIYHIUM M-series batteries.,-20-watt video light compatible with InfoLIYHIUM M-series batteries. <br/>-Can be switched to 10-watt or 20-watt settings (NP-FM50 batteries can only be used at 10-watt setting). <br/>-Includes shoe adaptor for increased functionality.,26095309,/Open-Catalogue/Cameras/Camera-Accessories-%26-Supplies/Camera-Flashes/Battery-Video-Light/p/266685,MIRACLE_001,,8796131721358,160.5,,,,/300Wx300H/266685-1385.jpg,,,,0027242648838,,,,,electro,Sony,,HVL-20DMA,,,,,,,,,,,,,,,,,,,8796131360910:8796131459214:8796131688590:8796131721358,Open Catalogue|Cameras|Camera Accessories & Supplies|Camera Flashes,/Open-Catalogue/c/1|/Open-Catalogue/Cameras/c/571|/Open-Catalogue/Cameras/Camera-Accessories-%26-Supplies/c/585|/Open-Catalogue/Cameras/Camera-Accessories-%26-Supplies/Camera-Flashes/c/586,,106.0,,USD
8796229009409,Adapter AC Infolithium f Cybershot,AC Power Adaptor,<br/><br/>Enables power supply from an AC outlet to your Cyber-shot.<br/><br/>AC-LS5 can not recharge AA Ni-MH rechargeable batteries inside the Cyber-shot main unit.<br/><br/>Includes an exclusive adapter (DK-2AA) for powering compatible Cyber-shot models using AA-type batteries.<br/><br/>Universal voltage.<br/><br/>W 105 × H 36 × D 56mm.<br/><br/>AC-LS5 is included with some models.<br/><br/>,26095309,/Open-Catalogue/Components/Power-Supplies/Power-Adapters-%26-Inverters/Adapter-AC-Infolithium-f-Cybershot/p/266899,MIRACLE_001,,8796131983502,86.86,,,,/300Wx300H/266899-5310.jpg,,,,0027242663169,,,,,electro,Sony,,AC-LS5K,,,,,,,,,,,,,,,AA,,,,8796131360910:8796131393678:8796131950734:8796131983502,Open Catalogue|Components|Power Supplies|Power Adapters & Inverters,/Open-Catalogue/c/1|/Open-Catalogue/Components/c/106|/Open-Catalogue/Components/Power-Supplies/c/816|/Open-Catalogue/Components/Power-Supplies/Power-Adapters-%26-Inverters/c/827,,,,USD
8796229074945,Web Camera (100KpixelM CMOS 640X480 USB 1.1) Black,100K Webcam with blue LED & Rubber coating WITH CLIP,Canyon is a growing world standard company that manufactures computer components and peripherals. Canyon products provide top quality  high performance and usability  while offered services and technical support make Canyon products fully customer-orientated.,26095309,/Open-Catalogue/Cameras/Webcams/Web-Camera-%28100KpixelM-CMOS%2C-640X480%2C-USB-1-1%29-Black/p/280916,MIRACLE_001,,8796131590286,8.2,,,,/300Wx300H/280916-8030.jpg,,,,8717371842475,,,,,electro,Canyon,,CN-WCAM21,,,,,,,,,,,,,,,,,,,8796131360910:8796131459214:8796131590286,Open Catalogue|Cameras|Webcams,/Open-Catalogue/c/1|/Open-Catalogue/Cameras/c/571|/Open-Catalogue/Cameras/Webcams/c/577,,50.0,,USD
8796229107713,Binocular IS 10X30,Thanks to their ultra-compact and lightweight design  these are the most portable binoculars to benefit from Image Stabilization technology.,Features<br/> <br/><br/>Excellent portability <br/>Image Stabilization technology <br/>High-contrast image <br/>Edge-to-edge image sharpness <br/><br/> <br/> <br/>Compact and light binoculars with Image Stabilizer<br/> <br/> <br/>Thanks to their ultra-compact and lightweight design  these are the most portable binoculars to benefit from Image Stabalization technology. This makes them the perfect companion for every type of travelling. Superb for air shows  nature trips and an excellent choice when visiting the race track or watching other spectator sports.<br/> <br/>,26095309,/Open-Catalogue/Binoculars/Binocular-IS-10X30/p/284533,MIRACLE_001,,8796132180110,500.43,,,,/300Wx300H/284533-9485.jpg,,,,0082966301360,,,,,electro,Canon,,2897A004AA,,,,,,,,,,,,,,,,,,,8796131360910:8796132180110,Open Catalogue|Binoculars,/Open-Catalogue/c/1|/Open-Catalogue/Binoculars/c/1421,,600.0,,USD
8796229206017,Light HVL-20DW2,Battery operated halogen light for Lithium-ion camcorders,Battery operated halogen light for Lithium-ion camcorders<br/><br/>,26095309,/Open-Catalogue/Cameras/Camera-Accessories-%26-Supplies/Camera-Flashes/Light-HVL-20DW2/p/289540,MIRACLE_001,,8796131721358,154.65,,,,/300Wx300H/289540-5319.jpg,,,,0027242530584,,,,,electro,Sony,,HVL20DW2,,,,,,,,,,,,,,,InfoLITHIUM,,,,8796131360910:8796131459214:8796131688590:8796131721358,Open Catalogue|Cameras|Camera Accessories & Supplies|Camera Flashes,/Open-Catalogue/c/1|/Open-Catalogue/Cameras/c/571|/Open-Catalogue/Cameras/Camera-Accessories-%26-Supplies/c/585|/Open-Catalogue/Cameras/Camera-Accessories-%26-Supplies/Camera-Flashes/c/586,,100.0,,USD
